Source: Hedge Fund Research Inc. Copyright 2023 HFR Inc. - www.hfr.com

Name,Ticker,Strategy,Substrategy,Region,Currency
HFRX Market Directional Index,HFRXMD,,Composite,Global,USD
Date,Daily ROR,Index Value
05/20/2021,0.7918%,1367.32
05/19/2021,-0.2004%,1356.58
05/18/2021,0.0925%,1359.3
05/17/2021,0.0286%,1358.05
05/14/2021,0.7685%,1357.66
05/13/2021,-0.575%,1347.31
05/12/2021,-0.2359%,1355.1
05/11/2021,-0.2656%,1358.3
05/10/2021,-0.2184%,1361.92
05/07/2021,0.4721%,1364.9
05/06/2021,0.1904%,1358.49
05/05/2021,0.2767%,1355.9
05/04/2021,-0.2319%,1352.16
05/03/2021,-0.0956%,1355.31
04/30/2021,-0.2514%,1356.6
04/29/2021,0.1338%,1360.02
04/28/2021,0.3654%,1358.2
04/27/2021,-0.0996%,1353.26
04/26/2021,0.0501%,1354.61
04/23/2021,0.572%,1353.93
04/22/2021,-0.1613%,1346.23
04/21/2021,0.2209%,1348.4
04/20/2021,-0.2554%,1345.43
04/19/2021,0.0965%,1348.88
04/16/2021,0.1685%,1347.58
04/15/2021,0.3056%,1345.31
04/14/2021,0.0279%,1341.21
04/13/2021,0.0299%,1340.84
04/12/2021,0.0462%,1340.44
04/09/2021,0.3257%,1339.82
04/08/2021,0.3486%,1335.47
04/07/2021,0.0717%,1330.83
04/06/2021,1.158%,1329.88
04/01/2021,0.4808%,1314.65
03/31/2021,0.2155%,1308.36
03/30/2021,0.0828%,1305.55
03/29/2021,-0.0289%,1304.47
03/26/2021,0.5069%,1304.85
03/25/2021,-0.0465%,1298.26
03/24/2021,-0.5176%,1298.87
03/23/2021,-0.5508%,1305.63
03/22/2021,0.153%,1312.86
03/19/2021,-0.0597%,1310.85
03/18/2021,-0.3376%,1311.63
03/17/2021,0.0393%,1316.08
03/16/2021,0.0777%,1315.56
03/15/2021,0.2133%,1314.54
03/12/2021,-0.0333%,1311.74
03/11/2021,0.6893%,1312.18
03/10/2021,0.2917%,1303.2
03/09/2021,0.3655%,1299.4
03/08/2021,-0.4508%,1294.67
03/05/2021,0.2835%,1300.54
03/04/2021,-1.0553%,1296.86
03/03/2021,-0.5258%,1310.69
03/02/2021,-0.3608%,1317.62
03/01/2021,0.7929%,1322.39
02/26/2021,-0.1597%,1311.99
02/25/2021,-0.6311%,1314.09
02/24/2021,0.0697%,1322.43
02/23/2021,-0.2235%,1321.51
02/22/2021,-0.6936%,1324.47
02/19/2021,0.134%,1333.72
02/18/2021,-0.1976%,1331.94
02/17/2021,0.1716%,1334.57
02/16/2021,0.2114%,1332.29
02/15/2021,0.0193%,1329.48
02/12/2021,0.0428%,1329.22
02/11/2021,0.5281%,1328.65
02/10/2021,-0.0834%,1321.67
02/09/2021,0.54%,1322.78
02/08/2021,0.1681%,1315.67
02/05/2021,0.4751%,1313.46
02/04/2021,0.536%,1307.25
02/03/2021,0.686%,1300.28
02/02/2021,0.5287%,1291.42
02/01/2021,0.4314%,1284.63
01/29/2021,-0.0257%,1279.11
01/28/2021,-0.5451%,1279.44
01/27/2021,-1.2346%,1286.46
01/26/2021,-0.3729%,1302.54
01/25/2021,0.0329%,1307.41
01/22/2021,-0.0476%,1306.98
01/21/2021,0.2318%,1307.6
01/20/2021,0.5377%,1304.58
01/19/2021,-0.4412%,1297.6
01/18/2021,-0.0043%,1303.35
01/15/2021,-0.2189%,1303.41
01/14/2021,0.184%,1306.27
01/13/2021,0.1505%,1303.87
01/12/2021,0.1734%,1301.91
01/11/2021,-0.0685%,1299.66
01/08/2021,0.3994%,1300.55
01/07/2021,0.6113%,1295.37
01/06/2021,-0.017%,1287.5
01/05/2021,0.2729%,1287.72
01/04/2021,-0.1482%,1284.22
12/31/2020,0.2554%,1286.12
12/30/2020,0.2645%,1282.84
12/29/2020,0.4916%,1279.46
12/28/2020,0.2056%,1273.2
12/24/2020,0.0278%,1270.59
12/23/2020,-0.0327%,1270.24
12/22/2020,0.0042%,1270.65
12/21/2020,-0.0809%,1270.6
12/18/2020,0.2923%,1271.63
12/17/2020,0.13%,1267.92
12/16/2020,0.6022%,1266.27
12/15/2020,0.2168%,1258.69
12/14/2020,0.2662%,1255.97
12/11/2020,0.127%,1252.64
12/10/2020,-0.2063%,1251.05
12/09/2020,-0.0064%,1253.63
12/08/2020,0.1609%,1253.71
12/07/2020,0.2071%,1251.7
12/04/2020,0.3068%,1249.11
12/03/2020,0.3118%,1245.29
12/02/2020,0.0832%,1241.42
12/01/2020,0.5852%,1240.39
11/30/2020,-0.2686%,1233.17
11/27/2020,0.6217%,1236.5
11/26/2020,-0.0061%,1228.86
11/25/2020,0.0179%,1228.93
11/24/2020,0.2161%,1228.71
11/23/2020,0.2702%,1226.06
11/20/2020,0.1694%,1222.76
11/19/2020,0.3577%,1220.69
11/18/2020,-0.1235%,1216.34
11/17/2020,0.2895%,1217.84
11/16/2020,0.466%,1214.33
11/13/2020,0.2661%,1208.69
11/12/2020,0.1906%,1205.49
11/11/2020,0.2215%,1203.19
11/10/2020,-0.2257%,1200.54
11/09/2020,0.2741%,1203.25
11/06/2020,0.2067%,1199.96
11/05/2020,0.9135%,1197.49
11/04/2020,0.7056%,1186.65
