Source: Hedge Fund Research Inc. Copyright 2023 HFR Inc. - www.hfr.com

Name,Ticker,Strategy,Substrategy,Region,Currency
HFRX EH: Equity Market Neutral Index,HFRXEMN,,Equity Market Neutral,Global,USD
Date,Daily ROR,Index Value
09/24/2020,0.0694%,889.66
09/23/2020,-0.014%,889.04
09/22/2020,-0.9958%,889.17
09/21/2020,-0.1576%,898.11
09/18/2020,-0.0244%,899.53
09/17/2020,-0.0788%,899.75
09/16/2020,0.0807%,900.46
09/15/2020,0.094%,899.73
09/14/2020,0.186%,898.89
09/11/2020,-0.054%,897.22
09/10/2020,0.0723%,897.7
09/09/2020,-0.0744%,897.05
09/08/2020,-0.2983%,897.72
09/04/2020,1.3827%,900.41
09/03/2020,0.007%,888.13
09/02/2020,-0.9909%,888.06
09/01/2020,0.043%,896.95
08/31/2020,0.0437%,896.57
08/28/2020,0.1984%,896.17
08/27/2020,0.0647%,894.4
