Dates,AAPL,MSFT,GOOG,AMZN
2021-12-10,178.710495,340.316528,148.675003,172.212006
2021-12-13,175.015778,337.196899,146.704498,169.567505
2021-12-14,173.611588,326.208679,144.970505,169.091507
2021-12-15,178.561096,332.477722,147.3685,173.315002
2021-12-16,171.550095,322.791016,144.838501,168.871002
2021-12-17,170.434738,321.69812,142.802994,170.017502
2021-12-20,169.050446,317.833405,142.401505,167.078995
2021-12-21,172.2771,325.165497,144.220505,170.417007
2021-12-22,174.916183,331.03717,146.949005,171.037003
2021-12-23,175.553543,332.517456,147.142502,171.068497
2021-12-27,179.586868,340.227112,148.063995,169.669495
2021-12-28,178.551132,339.034882,146.447998,170.660995
2021-12-29,178.640778,339.730377,146.504501,169.201004
2021-12-30,177.465637,337.117432,146.002502,168.644501
2021-12-31,176.838226,334.136902,144.679504,166.716995
2022-01-03,181.259933,332.577057,145.074493,170.404495
2022-01-04,178.959457,326.874359,144.416504,167.522003
2022-01-05,174.199142,314.326324,137.653503,164.356995
2022-01-06,171.291183,311.84256,137.550995,163.253998
2022-01-07,171.460495,312.001526,137.004501,162.554001
2022-01-10,171.480408,312.230011,138.574005,161.485992
2022-01-11,174.35849,312.935394,140.017502,165.362
2022-01-12,174.806641,316.204041,141.647995,165.207001
2022-01-13,171.480408,302.821472,139.130997,161.214005
2022-01-14,172.356796,308.186462,139.786499,162.138
2022-01-18,169.10025,300.685425,136.290497,158.917496
